%
(G-code output for Bezier Surface generated from given 4x4 matrix)
(Generated by HARISHKUMAR LAXMIKANT GAJAKOSH)
(As a part of COMPUTER INTEGRATED MANUFACTURING Project)
(Guided By Prof RAKESH LINGAM
(Creation date: 22-May-2022 21:59:42)
(Spindle Speed	= 12000 RPM)
(Tool	= 1)
N1 G90
N2 G21
N3 	G00 	X1.00000 	Y5.00000 	Z2.50000 	F100
N4 	G01 	X1.00000 	Y5.00000 	Z1.00000
N4352 	G01 	X22.21758 	Y28.86712 	Z1.57040
N4353 	G01 	X21.62195 	Y28.86712 	Z1.57751
N4354 	G01 	X21.02700 	Y28.86712 	Z1.58495
N4355 	G01 	X20.43277 	Y28.86712 	Z1.59275
N4356 	G01 	X19.83930 	Y28.86712 	Z1.60096
N4357 	G01 	X19.24666 	Y28.86712 	Z1.60963
N4358 	G01 	X18.65487 	Y28.86712 	Z1.61878
N4359 	G01 	X18.06400 	Y28.86712 	Z1.62847
N4360 	G01 	X17.47409 	Y28.86712 	Z1.63874
N4361 	G01 	X16.88518 	Y28.86712 	Z1.64963
N4362 	G01 	X16.29734 	Y28.86712 	Z1.66119
N4363 	G01 	X15.71059 	Y28.86712 	Z1.67345
N4364 	G01 	X15.12500 	Y28.86712 	Z1.68645
N4365 	G01 	X14.54061 	Y28.86712 	Z1.70025
N4366 	G01 	X13.95746 	Y28.86712 	Z1.71489
N4367 	G01 	X13.37562 	Y28.86712 	Z1.73040
N4368 	G01 	X12.79511 	Y28.86712 	Z1.74683
N4369 	G01 	X12.21600 	Y28.86712 	Z1.76422
N4370 	G01 	X11.63833 	Y28.86712 	Z1.78262
N4371 	G01 	X11.06214 	Y28.86712 	Z1.80206
N4372 	G01 	X10.48750 	Y28.86712 	Z1.82259
N4373 	G01 	X9.91443 	Y28.86712 	Z1.84426
N4374 	G01 	X9.34300 	Y28.86712 	Z1.86710
N4375 	G01 	X8.77325 	Y28.86712 	Z1.89116
N4376 	G01 	X8.20522 	Y28.86712 	Z1.91647
N4377 	G01 	X7.63898 	Y28.86712 	Z1.94309
N4378 	G01 	X7.07455 	Y28.86712 	Z1.97106
N4379 	G01 	X6.51200 	Y28.86712 	Z2.00041
N4380 	G01 	X5.95137 	Y28.86712 	Z2.03119
N4381 	G01 	X5.39270 	Y28.86712 	Z2.06345
N4382 	G01 	X4.83606 	Y28.86712 	Z2.09722
N4383 	G01 	X4.28147 	Y28.86712 	Z2.13255
N4384 	G01 	X3.72900 	Y28.86712 	Z2.16948
N4385 	G01 	X3.17869 	Y28.86712 	Z2.20805
N4386 	G01 	X2.63058 	Y28.86712 	Z2.24831
N4387 	G01 	X2.08474 	Y28.86712 	Z2.29030
N4388 	G01 	X1.54119 	Y28.86712 	Z2.33405
N4389 	G01 	X1.00000 	Y28.86712 	Z2.37963

N4390 	G01 	X1.00000 	Y29.14790 	Z2.37174
N4391 	G01 	X1.54119 	Y29.14790 	Z2.32509
N4392 	G01 	X2.08474 	Y29.14790 	Z2.28038
N4393 	G01 	X2.63058 	Y29.14790 	Z2.23757
N4394 	G01 	X3.17869 	Y29.14790 	Z2.19660
N4395 	G01 	X3.72900 	Y29.14790 	Z2.15744
N4396 	G01 	X4.28147 	Y29.14790 	Z2.12001
N4397 	G01 	X4.83606 	Y29.14790 	Z2.08430
N4398 	G01 	X5.39270 	Y29.14790 	Z2.05023
N4399 	G01 	X5.95137 	Y29.14790 	Z2.01777
N4400 	G01 	X6.51200 	Y29.14790 	Z1.98686
N4401 	G01 	X7.07455 	Y29.14790 	Z1.95746
N4402 	G01 	X7.63898 	Y29.14790 	Z1.92952
N4403 	G01 	X8.20522 	Y29.14790 	Z1.90299
N4404 	G01 	X8.77325 	Y29.14790 	Z1.87782
N4405 	G01 	X9.34300 	Y29.14790 	Z1.85396
N4406 	G01 	X9.91443 	Y29.14790 	Z1.83138
N4407 	G01 	X10.48750 	Y29.14790 	Z1.81000
N4408 	G01 	X11.06214 	Y29.14790 	Z1.78980
N4409 	G01 	X11.63833 	Y29.14790 	Z1.77072
N4410 	G01 	X12.21600 	Y29.14790 	Z1.75271
N4411 	G01 	X12.79511 	Y29.14790 	Z1.73572
N4412 	G01 	X13.37562 	Y29.14790 	Z1.71971
N4413 	G01 	X13.95746 	Y29.14790 	Z1.70463
N4414 	G01 	X14.54061 	Y29.14790 	Z1.69042
N4415 	G01 	X15.12500 	Y29.14790 	Z1.67705
N4416 	G01 	X15.71059 	Y29.14790 	Z1.66446
N4417 	G01 	X16.29734 	Y29.14790 	Z1.65260
N4418 	G01 	X16.88518 	Y29.14790 	Z1.64142
N4419 	G01 	X17.47409 	Y29.14790 	Z1.63088
N4420 	G01 	X18.06400 	Y29.14790 	Z1.62094
N4421 	G01 	X18.65487 	Y29.14790 	Z1.61153
N4422 	G01 	X19.24666 	Y29.14790 	Z1.60261
N4423 	G01 	X19.83930 	Y29.14790 	Z1.59414
N4424 	G01 	X20.43277 	Y29.14790 	Z1.58606
N4425 	G01 	X21.02700 	Y29.14790 	Z1.57832
N4426 	G01 	X21.62195 	Y29.14790 	Z1.57089
N4427 	G01 	X22.21758 	Y29.14790 	Z1.56371
N4428 	G01 	X22.81382 	Y29.14790 	Z1.55672
N4429 	G01 	X23.41065 	Y29.14790 	Z1.54990
N4430 	G01 	X24.00800 	Y29.14790 	Z1.54317
N4431 	G01 	X24.60583 	Y29.14790 	Z1.53650
N4432 	G01 	X25.20410 	Y29.14790 	Z1.52984
N4433 	G01 	X25.80274 	Y29.14790 	Z1.52314
N4434 	G01 	X26.40173 	Y29.14790 	Z1.51635
N4435 	G01 	X27.00100 	Y29.14790 	Z1.50943
N4436 	G01 	X27.60051 	Y29.14790 	Z1.50232
N4437 	G01 	X28.20022 	Y29.14790 	Z1.49497
N4438 	G01 	X28.80006 	Y29.14790 	Z1.48735
N4439 	G01 	X29.40001 	Y29.14790 	Z1.47939
N4440 	G01 	X30.00000 	Y29.14790 	Z1.47105

N4441 	G01 	X30.00000 	Y29.42869 	Z1.45367
N4442 	G01 	X29.40001 	Y29.42869 	Z1.46361
N4443 	G01 	X28.80006 	Y29.42869 	Z1.47303
N4444 	G01 	X28.20022 	Y29.42869 	Z1.48197
N4445 	G01 	X27.60051 	Y29.42869 	Z1.49048
N4446 	G01 	X27.00100 	Y29.42869 	Z1.49863
N4447 	G01 	X26.40173 	Y29.42869 	Z1.50646
N4448 	G01 	X25.80274 	Y29.42869 	Z1.51404
N4449 	G01 	X25.20410 	Y29.42869 	Z1.52140
N4450 	G01 	X24.60583 	Y29.42869 	Z1.52862
N4451 	G01 	X24.00800 	Y29.42869 	Z1.53574
N4452 	G01 	X23.41065 	Y29.42869 	Z1.54281
N4453 	G01 	X22.81382 	Y29.42869 	Z1.54990
N4454 	G01 	X22.21758 	Y29.42869 	Z1.55705
N4455 	G01 	X21.62195 	Y29.42869 	Z1.56432
N4456 	G01 	X21.02700 	Y29.42869 	Z1.57176
N4457 	G01 	X20.43277 	Y29.42869 	Z1.57943
N4458 	G01 	X19.83930 	Y29.42869 	Z1.58738
N4459 	G01 	X19.24666 	Y29.42869 	Z1.59567
N4460 	G01 	X18.65487 	Y29.42869 	Z1.60435
N4461 	G01 	X18.06400 	Y29.42869 	Z1.61348
N4462 	G01 	X17.47409 	Y29.42869 	Z1.62310
N4463 	G01 	X16.88518 	Y29.42869 	Z1.63328
N4464 	G01 	X16.29734 	Y29.42869 	Z1.64407
N4465 	G01 	X15.71059 	Y29.42869 	Z1.65551
N4466 	G01 	X15.12500 	Y29.42869 	Z1.66767
N4467 	G01 	X14.54061 	Y29.42869 	Z1.68061
N4468 	G01 	X13.95746 	Y29.42869 	Z1.69436
N4469 	G01 	X13.37562 	Y29.42869 	Z1.70900
N4470 	G01 	X12.79511 	Y29.42869 	Z1.72457
N4471 	G01 	X12.21600 	Y29.42869 	Z1.74112
N4472 	G01 	X11.63833 	Y29.42869 	Z1.75872
N4473 	G01 	X11.06214 	Y29.42869 	Z1.77741
N4474 	G01 	X10.48750 	Y29.42869 	Z1.79725
N4475 	G01 	X9.91443 	Y29.42869 	Z1.81830
N4476 	G01 	X9.34300 	Y29.42869 	Z1.84060
N4477 	G01 	X8.77325 	Y29.42869 	Z1.86422
N4478 	G01 	X8.20522 	Y29.42869 	Z1.88920
N4479 	G01 	X7.63898 	Y29.42869 	Z1.91560
N4480 	G01 	X7.07455 	Y29.42869 	Z1.94348
N4481 	G01 	X6.51200 	Y29.42869 	Z1.97289
N4482 	G01 	X5.95137 	Y29.42869 	Z2.00388
N4483 	G01 	X5.39270 	Y29.42869 	Z2.03651
N4484 	G01 	X4.83606 	Y29.42869 	Z2.07083
N4485 	G01 	X4.28147 	Y29.42869 	Z2.10690
N4486 	G01 	X3.72900 	Y29.42869 	Z2.14477
N4487 	G01 	X3.17869 	Y29.42869 	Z2.18449
N4488 	G01 	X2.63058 	Y29.42869 	Z2.22612
N4489 	G01 	X2.08474 	Y29.42869 	Z2.26972
N4490 	G01 	X1.54119 	Y29.42869 	Z2.31533
N4491 	G01 	X1.00000 	Y29.42869 	Z2.36301

N4492 	G01 	X1.00000 	Y29.70948 	Z2.35342
N4493 	G01 	X1.54119 	Y29.70948 	Z2.30475
N4494 	G01 	X2.08474 	Y29.70948 	Z2.25828
N4495 	G01 	X2.63058 	Y29.70948 	Z2.21395
N4496 	G01 	X3.17869 	Y29.70948 	Z2.17170
N4497 	G01 	X3.72900 	Y29.70948 	Z2.13147
N4498 	G01 	X4.28147 	Y29.70948 	Z2.09320
N4499 	G01 	X4.83606 	Y29.70948 	Z2.05683
N4500 	G01 	X5.39270 	Y29.70948 	Z2.02229
N4501 	G01 	X5.95137 	Y29.70948 	Z1.98954
N4502 	G01 	X6.51200 	Y29.70948 	Z1.95851
N4503 	G01 	X7.07455 	Y29.70948 	Z1.92913
N4504 	G01 	X7.63898 	Y29.70948 	Z1.90135
N4505 	G01 	X8.20522 	Y29.70948 	Z1.87512
N4506 	G01 	X8.77325 	Y29.70948 	Z1.85036
N4507 	G01 	X9.34300 	Y29.70948 	Z1.82701
N4508 	G01 	X9.91443 	Y29.70948 	Z1.80503
N4509 	G01 	X10.48750 	Y29.70948 	Z1.78434
N4510 	G01 	X11.06214 	Y29.70948 	Z1.76489
N4511 	G01 	X11.63833 	Y29.70948 	Z1.74662
N4512 	G01 	X12.21600 	Y29.70948 	Z1.72946
N4513 	G01 	X12.79511 	Y29.70948 	Z1.71337
N4514 	G01 	X13.37562 	Y29.70948 	Z1.69826
N4515 	G01 	X13.95746 	Y29.70948 	Z1.68410
N4516 	G01 	X14.54061 	Y29.70948 	Z1.67081
N4517 	G01 	X15.12500 	Y29.70948 	Z1.65834
N4518 	G01 	X15.71059 	Y29.70948 	Z1.64662
N4519 	G01 	X16.29734 	Y29.70948 	Z1.63560
N4520 	G01 	X16.88518 	Y29.70948 	Z1.62522
N4521 	G01 	X17.47409 	Y29.70948 	Z1.61541
N4522 	G01 	X18.06400 	Y29.70948 	Z1.60611
N4523 	G01 	X18.65487 	Y29.70948 	Z1.59727
N4524 	G01 	X19.24666 	Y29.70948 	Z1.58883
N4525 	G01 	X19.83930 	Y29.70948 	Z1.58072
N4526 	G01 	X20.43277 	Y29.70948 	Z1.57288
N4527 	G01 	X21.02700 	Y29.70948 	Z1.56526
N4528 	G01 	X21.62195 	Y29.70948 	Z1.55780
N4529 	G01 	X22.21758 	Y29.70948 	Z1.55042
N4530 	G01 	X22.81382 	Y29.70948 	Z1.54309
N4531 	G01 	X23.41065 	Y29.70948 	Z1.53572
N4532 	G01 	X24.00800 	Y29.70948 	Z1.52827
N4533 	G01 	X24.60583 	Y29.70948 	Z1.52067
N4534 	G01 	X25.20410 	Y29.70948 	Z1.51287
N4535 	G01 	X25.80274 	Y29.70948 	Z1.50479
N4536 	G01 	X26.40173 	Y29.70948 	Z1.49639
N4537 	G01 	X27.00100 	Y29.70948 	Z1.48761
N4538 	G01 	X27.60051 	Y29.70948 	Z1.47837
N4539 	G01 	X28.20022 	Y29.70948 	Z1.46863
N4540 	G01 	X28.80006 	Y29.70948 	Z1.45832
N4541 	G01 	X29.40001 	Y29.70948 	Z1.44738
N4542 	G01 	X30.00000 	Y29.70948 	Z1.43575

N4543 	G01 	X30.00000 	Y29.99027 	Z1.41731
N4544 	G01 	X29.40001 	Y29.99027 	Z1.43069
N4545 	G01 	X28.80006 	Y29.99027 	Z1.44322
N4546 	G01 	X28.20022 	Y29.99027 	Z1.45496
N4547 	G01 	X27.60051 	Y29.99027 	Z1.46599
N4548 	G01 	X27.00100 	Y29.99027 	Z1.47636
N4549 	G01 	X26.40173 	Y29.99027 	Z1.48615
N4550 	G01 	X25.80274 	Y29.99027 	Z1.49542
N4551 	G01 	X25.20410 	Y29.99027 	Z1.50424
N4552 	G01 	X24.60583 	Y29.99027 	Z1.51267
N4553 	G01 	X24.00800 	Y29.99027 	Z1.52078
N4554 	G01 	X23.41065 	Y29.99027 	Z1.52863
N4555 	G01 	X22.81382 	Y29.99027 	Z1.53630
N4556 	G01 	X22.21758 	Y29.99027 	Z1.54385
N4557 	G01 	X21.62195 	Y29.99027 	Z1.55134
N4558 	G01 	X21.02700 	Y29.99027 	Z1.55885
N4559 	G01 	X20.43277 	Y29.99027 	Z1.56643
N4560 	G01 	X19.83930 	Y29.99027 	Z1.57415
N4561 	G01 	X19.24666 	Y29.99027 	Z1.58208
N4562 	G01 	X18.65487 	Y29.99027 	Z1.59029
N4563 	G01 	X18.06400 	Y29.99027 	Z1.59884
N4564 	G01 	X17.47409 	Y29.99027 	Z1.60780
N4565 	G01 	X16.88518 	Y29.99027 	Z1.61724
N4566 	G01 	X16.29734 	Y29.99027 	Z1.62721
N4567 	G01 	X15.71059 	Y29.99027 	Z1.63779
N4568 	G01 	X15.12500 	Y29.99027 	Z1.64905
N4569 	G01 	X14.54061 	Y29.99027 	Z1.66104
N4570 	G01 	X13.95746 	Y29.99027 	Z1.67384
N4571 	G01 	X13.37562 	Y29.99027 	Z1.68752
N4572 	G01 	X12.79511 	Y29.99027 	Z1.70213
N4573 	G01 	X12.21600 	Y29.99027 	Z1.71774
N4574 	G01 	X11.63833 	Y29.99027 	Z1.73443
N4575 	G01 	X11.06214 	Y29.99027 	Z1.75225
N4576 	G01 	X10.48750 	Y29.99027 	Z1.77127
N4577 	G01 	X9.91443 	Y29.99027 	Z1.79157
N4578 	G01 	X9.34300 	Y29.99027 	Z1.81320
N4579 	G01 	X8.77325 	Y29.99027 	Z1.83623
N4580 	G01 	X8.20522 	Y29.99027 	Z1.86073
N4581 	G01 	X7.63898 	Y29.99027 	Z1.88677
N4582 	G01 	X7.07455 	Y29.99027 	Z1.91440
N4583 	G01 	X6.51200 	Y29.99027 	Z1.94371
N4584 	G01 	X5.95137 	Y29.99027 	Z1.97474
N4585 	G01 	X5.39270 	Y29.99027 	Z2.00757
N4586 	G01 	X4.83606 	Y29.99027 	Z2.04227
N4587 	G01 	X4.28147 	Y29.99027 	Z2.07891
N4588 	G01 	X3.72900 	Y29.99027 	Z2.11754
N4589 	G01 	X3.17869 	Y29.99027 	Z2.15823
N4590 	G01 	X2.63058 	Y29.99027 	Z2.20105
N4591 	G01 	X2.08474 	Y29.99027 	Z2.24607
N4592 	G01 	X1.54119 	Y29.99027 	Z2.29336
N4593 	G01 	X1.00000 	Y29.99027 	Z2.34297

N4594 	G01 	X1.00000 	Y30.27106 	Z2.33164
N4595 	G01 	X1.54119 	Y30.27106 	Z2.28113
N4596 	G01 	X2.08474 	Y30.27106 	Z2.23309
N4597 	G01 	X2.63058 	Y30.27106 	Z2.18742
N4598 	G01 	X3.17869 	Y30.27106 	Z2.14407
N4599 	G01 	X3.72900 	Y30.27106 	Z2.10296
N4600 	G01 	X4.28147 	Y30.27106 	Z2.06402
N4601 	G01 	X4.83606 	Y30.27106 	Z2.02717
N4602 	G01 	X5.39270 	Y30.27106 	Z1.99235
N4603 	G01 	X5.95137 	Y30.27106 	Z1.95948
N4604 	G01 	X6.51200 	Y30.27106 	Z1.92848
N4605 	G01 	X7.07455 	Y30.27106 	Z1.89930
N4606 	G01 	X7.63898 	Y30.27106 	Z1.87185
N4607 	G01 	X8.20522 	Y30.27106 	Z1.84605
N4608 	G01 	X8.77325 	Y30.27106 	Z1.82185
N4609 	G01 	X9.34300 	Y30.27106 	Z1.79917
N4610 	G01 	X9.91443 	Y30.27106 	Z1.77793
N4611 	G01 	X10.48750 	Y30.27106 	Z1.75806
N4612 	G01 	X11.06214 	Y30.27106 	Z1.73949
N4613 	G01 	X11.63833 	Y30.27106 	Z1.72215
N4614 	G01 	X12.21600 	Y30.27106 	Z1.70596
N4615 	G01 	X12.79511 	Y30.27106 	Z1.69085
N4616 	G01 	X13.37562 	Y30.27106 	Z1.67676
N4617 	G01 	X13.95746 	Y30.27106 	Z1.66360
N4618 	G01 	X14.54061 	Y30.27106 	Z1.65131
N4619 	G01 	X15.12500 	Y30.27106 	Z1.63981
N4620 	G01 	X15.71059 	Y30.27106 	Z1.62903
N4621 	G01 	X16.29734 	Y30.27106 	Z1.61890
N4622 	G01 	X16.88518 	Y30.27106 	Z1.60935
N4623 	G01 	X17.47409 	Y30.27106 	Z1.60030
N4624 	G01 	X18.06400 	Y30.27106 	Z1.59168
N4625 	G01 	X18.65487 	Y30.27106 	Z1.58342
N4626 	G01 	X19.24666 	Y30.27106 	Z1.57545
N4627 	G01 	X19.83930 	Y30.27106 	Z1.56769
N4628 	G01 	X20.43277 	Y30.27106 	Z1.56007
N4629 	G01 	X21.02700 	Y30.27106 	Z1.55252
N4630 	G01 	X21.62195 	Y30.27106 	Z1.54496
N4631 	G01 	X22.21758 	Y30.27106 	Z1.53734
N4632 	G01 	X22.81382 	Y30.27106 	Z1.52956
N4633 	G01 	X23.41065 	Y30.27106 	Z1.52156
N4634 	G01 	X24.00800 	Y30.27106 	Z1.51327
N4635 	G01 	X24.60583 	Y30.27106 	Z1.50462
N4636 	G01 	X25.20410 	Y30.27106 	Z1.49553
N4637 	G01 	X25.80274 	Y30.27106 	Z1.48592
N4638 	G01 	X26.40173 	Y30.27106 	Z1.47574
N4639 	G01 	X27.00100 	Y30.27106 	Z1.46490
N4640 	G01 	X27.60051 	Y30.27106 	Z1.45333
N4641 	G01 	X28.20022 	Y30.27106 	Z1.44097
N4642 	G01 	X28.80006 	Y30.27106 	Z1.42773
N4643 	G01 	X29.40001 	Y30.27106 	Z1.41355
N4644 	G01 	X30.00000 	Y30.27106 	Z1.39835

N4645 	G01 	X30.00000 	Y30.55185 	Z1.37886
N4646 	G01 	X29.40001 	Y30.55185 	Z1.39595
N4647 	G01 	X28.80006 	Y30.55185 	Z1.41186
N4648 	G01 	X28.20022 	Y30.55185 	Z1.42665
N4649 	G01 	X27.60051 	Y30.55185 	Z1.44041
N4650 	G01 	X27.00100 	Y30.55185 	Z1.45323
N4651 	G01 	X26.40173 	Y30.55185 	Z1.46516
N4652 	G01 	X25.80274 	Y30.55185 	Z1.47631
N4653 	G01 	X25.20410 	Y30.55185 	Z1.48674
N4654 	G01 	X24.60583 	Y30.55185 	Z1.49653
N4655 	G01 	X24.00800 	Y30.55185 	Z1.50576
N4656 	G01 	X23.41065 	Y30.55185 	Z1.51451
N4657 	G01 	X22.81382 	Y30.55185 	Z1.52286
N4658 	G01 	X22.21758 	Y30.55185 	Z1.53089
N4659 	G01 	X21.62195 	Y30.55185 	Z1.53867
N4660 	G01 	X21.02700 	Y30.55185 	Z1.54629
N4661 	G01 	X20.43277 	Y30.55185 	Z1.55382
N4662 	G01 	X19.83930 	Y30.55185 	Z1.56134
N4663 	G01 	X19.24666 	Y30.55185 	Z1.56893
N4664 	G01 	X18.65487 	Y30.55185 	Z1.57667
N4665 	G01 	X18.06400 	Y30.55185 	Z1.58464
N4666 	G01 	X17.47409 	Y30.55185 	Z1.59291
N4667 	G01 	X16.88518 	Y30.55185 	Z1.60157
N4668 	G01 	X16.29734 	Y30.55185 	Z1.61069
N4669 	G01 	X15.71059 	Y30.55185 	Z1.62035
N4670 	G01 	X15.12500 	Y30.55185 	Z1.63064
N4671 	G01 	X14.54061 	Y30.55185 	Z1.64162
N4672 	G01 	X13.95746 	Y30.55185 	Z1.65338
N4673 	G01 	X13.37562 	Y30.55185 	Z1.66600
N4674 	G01 	X12.79511 	Y30.55185 	Z1.67956
N4675 	G01 	X12.21600 	Y30.55185 	Z1.69412
N4676 	G01 	X11.63833 	Y30.55185 	Z1.70978
N4677 	G01 	X11.06214 	Y30.55185 	Z1.72661
N4678 	G01 	X10.48750 	Y30.55185 	Z1.74469
N4679 	G01 	X9.91443 	Y30.55185 	Z1.76410
N4680 	G01 	X9.34300 	Y30.55185 	Z1.78491
N4681 	G01 	X8.77325 	Y30.55185 	Z1.80722
N4682 	G01 	X8.20522 	Y30.55185 	Z1.83108
N4683 	G01 	X7.63898 	Y30.55185 	Z1.85659
N4684 	G01 	X7.07455 	Y30.55185 	Z1.88382
N4685 	G01 	X6.51200 	Y30.55185 	Z1.91284
N4686 	G01 	X5.95137 	Y30.55185 	Z1.94375
N4687 	G01 	X5.39270 	Y30.55185 	Z1.97662
N4688 	G01 	X4.83606 	Y30.55185 	Z2.01152
N4689 	G01 	X4.28147 	Y30.55185 	Z2.04853
N4690 	G01 	X3.72900 	Y30.55185 	Z2.08774
N4691 	G01 	X3.17869 	Y30.55185 	Z2.12922
N4692 	G01 	X2.63058 	Y30.55185 	Z2.17305
N4693 	G01 	X2.08474 	Y30.55185 	Z2.21931
N4694 	G01 	X1.54119 	Y30.55185 	Z2.26807
N4695 	G01 	X1.00000 	Y30.55185 	Z2.31943

N4696 	G01 	X1.00000 	Y30.83264 	Z2.30632
N4697 	G01 	X1.54119 	Y30.83264 	Z2.25417
N4698 	G01 	X2.08474 	Y30.83264 	Z2.20473
N4699 	G01 	X2.63058 	Y30.83264 	Z2.15793
N4700 	G01 	X3.17869 	Y30.83264 	Z2.11367
N4701 	G01 	X3.72900 	Y30.83264 	Z2.07186
N4702 	G01 	X4.28147 	Y30.83264 	Z2.03244
N4703 	G01 	X4.83606 	Y30.83264 	Z1.99530
N4704 	G01 	X5.39270 	Y30.83264 	Z1.96037
N4705 	G01 	X5.95137 	Y30.83264 	Z1.92756
N4706 	G01 	X6.51200 	Y30.83264 	Z1.89678
N4707 	G01 	X7.07455 	Y30.83264 	Z1.86795
N4708 	G01 	X7.63898 	Y30.83264 	Z1.84099
N4709 	G01 	X8.20522 	Y30.83264 	Z1.81581
N4710 	G01 	X8.77325 	Y30.83264 	Z1.79232
N4711 	G01 	X9.34300 	Y30.83264 	Z1.77045
N4712 	G01 	X9.91443 	Y30.83264 	Z1.75010
N4713 	G01 	X10.48750 	Y30.83264 	Z1.73118
N4714 	G01 	X11.06214 	Y30.83264 	Z1.71363
N4715 	G01 	X11.63833 	Y30.83264 	Z1.69734
N4716 	G01 	X12.21600 	Y30.83264 	Z1.68224
N4717 	G01 	X12.79511 	Y30.83264 	Z1.66824
N4718 	G01 	X13.37562 	Y30.83264 	Z1.65525
N4719 	G01 	X13.95746 	Y30.83264 	Z1.64320
N4720 	G01 	X14.54061 	Y30.83264 	Z1.63199
N4721 	G01 	X15.12500 	Y30.83264 	Z1.62154
N4722 	G01 	X15.71059 	Y30.83264 	Z1.61176
N4723 	G01 	X16.29734 	Y30.83264 	Z1.60258
N4724 	G01 	X16.88518 	Y30.83264 	Z1.59390
N4725 	G01 	X17.47409 	Y30.83264 	Z1.58564
N4726 	G01 	X18.06400 	Y30.83264 	Z1.57772
N4727 	G01 	X18.65487 	Y30.83264 	Z1.57005
N4728 	G01 	X19.24666 	Y30.83264 	Z1.56254
N4729 	G01 	X19.83930 	Y30.83264 	Z1.55511
N4730 	G01 	X20.43277 	Y30.83264 	Z1.54768
N4731 	G01 	X21.02700 	Y30.83264 	Z1.54016
N4732 	G01 	X21.62195 	Y30.83264 	Z1.53247
N4733 	G01 	X22.21758 	Y30.83264 	Z1.52451
N4734 	G01 	X22.81382 	Y30.83264 	Z1.51621
N4735 	G01 	X23.41065 	Y30.83264 	Z1.50749
N4736 	G01 	X24.00800 	Y30.83264 	Z1.49824
N4737 	G01 	X24.60583 	Y30.83264 	Z1.48840
N4738 	G01 	X25.20410 	Y30.83264 	Z1.47788
N4739 	G01 	X25.80274 	Y30.83264 	Z1.46658
N4740 	G01 	X26.40173 	Y30.83264 	Z1.45443
N4741 	G01 	X27.00100 	Y30.83264 	Z1.44135
N4742 	G01 	X27.60051 	Y30.83264 	Z1.42723
N4743 	G01 	X28.20022 	Y30.83264 	Z1.41201
N4744 	G01 	X28.80006 	Y30.83264 	Z1.39560
N4745 	G01 	X29.40001 	Y30.83264 	Z1.37790
N4746 	G01 	X30.00000 	Y30.83264 	Z1.35885

N4747 	G01 	X30.00000 	Y31.11343 	Z1.33831
N4748 	G01 	X29.40001 	Y31.11343 	Z1.35940
N4749 	G01 	X28.80006 	Y31.11343 	Z1.37896
N4750 	G01 	X28.20022 	Y31.11343 	Z1.39706
N4751 	G01 	X27.60051 	Y31.11343 	Z1.41380
N4752 	G01 	X27.00100 	Y31.11343 	Z1.42927
N4753 	G01 	X26.40173 	Y31.11343 	Z1.44355
N4754 	G01 	X25.80274 	Y31.11343 	Z1.45675
N4755 	G01 	X25.20410 	Y31.11343 	Z1.46896
N4756 	G01 	X24.60583 	Y31.11343 	Z1.48025
N4757 	G01 	X24.00800 	Y31.11343 	Z1.49074
N4758 	G01 	X23.41065 	Y31.11343 	Z1.50050
N4759 	G01 	X22.81382 	Y31.11343 	Z1.50963
N4760 	G01 	X22.21758 	Y31.11343 	Z1.51822
N4761 	G01 	X21.62195 	Y31.11343 	Z1.52637
N4762 	G01 	X21.02700 	Y31.11343 	Z1.53415
N4763 	G01 	X20.43277 	Y31.11343 	Z1.54167
N4764 	G01 	X19.83930 	Y31.11343 	Z1.54902
N4765 	G01 	X19.24666 	Y31.11343 	Z1.55629
N4766 	G01 	X18.65487 	Y31.11343 	Z1.56356
N4767 	G01 	X18.06400 	Y31.11343 	Z1.57093
N4768 	G01 	X17.47409 	Y31.11343 	Z1.57850
N4769 	G01 	X16.88518 	Y31.11343 	Z1.58635
N4770 	G01 	X16.29734 	Y31.11343 	Z1.59457
N4771 	G01 	X15.71059 	Y31.11343 	Z1.60326
N4772 	G01 	X15.12500 	Y31.11343 	Z1.61251
N4773 	G01 	X14.54061 	Y31.11343 	Z1.62241
N4774 	G01 	X13.95746 	Y31.11343 	Z1.63305
N4775 	G01 	X13.37562 	Y31.11343 	Z1.64452
N4776 	G01 	X12.79511 	Y31.11343 	Z1.65691
N4777 	G01 	X12.21600 	Y31.11343 	Z1.67031
N4778 	G01 	X11.63833 	Y31.11343 	Z1.68483
N4779 	G01 	X11.06214 	Y31.11343 	Z1.70054
N4780 	G01 	X10.48750 	Y31.11343 	Z1.71754
N4781 	G01 	X9.91443 	Y31.11343 	Z1.73591
N4782 	G01 	X9.34300 	Y31.11343 	Z1.75577
N4783 	G01 	X8.77325 	Y31.11343 	Z1.77718
N4784 	G01 	X8.20522 	Y31.11343 	Z1.80025
N4785 	G01 	X7.63898 	Y31.11343 	Z1.82506
N4786 	G01 	X7.07455 	Y31.11343 	Z1.85172
N4787 	G01 	X6.51200 	Y31.11343 	Z1.88030
N4788 	G01 	X5.95137 	Y31.11343 	Z1.91090
N4789 	G01 	X5.39270 	Y31.11343 	Z1.94361
N4790 	G01 	X4.83606 	Y31.11343 	Z1.97853
N4791 	G01 	X4.28147 	Y31.11343 	Z2.01574
N4792 	G01 	X3.72900 	Y31.11343 	Z2.05533
N4793 	G01 	X3.17869 	Y31.11343 	Z2.09741
N4794 	G01 	X2.63058 	Y31.11343 	Z2.14205
